match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Head To Head,Houston Astros,1.39,Miami Marlins,3.1,1.042,BetRight
Milwaukee Brewers v Pittsburgh Pirates,2024-07-10 09:40:00,Head To Head,Milwaukee Brewers,1.61,Pittsburgh Pirates,2.38,1.041,BetRight
Los Angeles Angels v Texas Rangers,2024-07-10 11:08:00,Head To Head,Los Angeles Angels,2.5,Texas Rangers,1.56,1.041,BetRight
Arizona Diamondbacks v Atlanta Braves,2024-07-10 11:10:00,Head To Head,Arizona Diamondbacks,2.01,Atlanta Braves,1.84,1.041,BetRight
San Diego Padres v Seattle Mariners,2024-07-10 11:10:00,Head To Head,San Diego Padres,2.15,Seattle Mariners,1.74,1.04,BetRight
San Francisco Giants v Toronto Blue Jays,2024-07-10 11:15:00,Head To Head,San Francisco Giants,1.77,Toronto Blue Jays,2.1,1.041,BetRight
Baltimore Orioles v Chicago Cubs,2024-07-11 08:05:00,Head To Head,Baltimore Orioles,1.6,Chicago Cubs,2.4,1.042,BetRight
Detroit Tigers v Cleveland Guardians,2024-07-11 08:10:00,Head To Head,Detroit Tigers,2.24,Cleveland Guardians,1.68,1.042,BetRight
Tampa Bay Rays v New York Yankees,2024-07-11 08:20:00,Head To Head,Tampa Bay Rays,1.91,New York Yankees,1.93,1.042,BetRight
Philadelphia Phillies v Los Angeles Dodgers,2024-07-11 08:35:00,Head To Head,Philadelphia Phillies,1.77,Los Angeles Dodgers,2.1,1.041,BetRight
Cincinnati Reds v Colorado Rockies,2024-07-11 08:40:00,Head To Head,Cincinnati Reds,1.55,Colorado Rockies,2.52,1.042,BetRight
Boston Red Sox v Oakland Athletics,2024-07-11 08:40:00,Head To Head,Boston Red Sox,1.53,Oakland Athletics,2.58,1.041,BetRight
New York Mets v Washington Nationals,2024-07-11 08:40:00,Head To Head,New York Mets,1.51,Washington Nationals,2.62,1.044,BetRight
