match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,prop_id,agency
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Marcus Stroman,New York Yankees,Cincinnati Reds,5.5,2.8,775492,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Marcus Stroman,New York Yankees,Cincinnati Reds,6.5,4.75,775493,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Marcus Stroman,New York Yankees,Cincinnati Reds,7.5,8.5,775494,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Marcus Stroman,New York Yankees,Cincinnati Reds,8.5,19,775495,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Marcus Stroman,New York Yankees,Cincinnati Reds,9.5,41,775496,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,2.5,1.14,775519,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,3.5,1.38,775520,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,4.5,1.8,775521,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,5.5,2.5,775522,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,6.5,4,775523,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,7.5,7.5,775524,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,8.5,13,775525,TAB
New York Yankees v Cincinnati Reds,New York Yankees,Cincinnati Reds,Player strikeouts,Frankie Montas,Cincinnati Reds,New York Yankees,9.5,34,775526,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Jared Shuster,Chicago White Sox,Cleveland Guardians,2.5,2.3,775907,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Jared Shuster,Chicago White Sox,Cleveland Guardians,3.5,4.5,775908,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Jared Shuster,Chicago White Sox,Cleveland Guardians,4.5,11,775909,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Jared Shuster,Chicago White Sox,Cleveland Guardians,5.5,41,775910,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,2.5,1.14,775917,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,3.5,1.42,775918,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,4.5,1.9,775919,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,5.5,2.8,775920,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,6.5,4.75,775921,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,7.5,9,775922,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,8.5,17,775923,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player strikeouts,Ben Lively,Cleveland Guardians,Chicago White Sox,9.5,41,775924,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,3.5,1.05,776346,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,4.5,1.19,776347,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,5.5,1.45,776348,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,6.5,1.85,776349,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,7.5,2.6,776350,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,8.5,4,776351,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,9.5,6.5,776352,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,10.5,13,776353,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Bailey Ober,Minnesota Twins,Detroit Tigers,11.5,26,776354,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,2.5,1.26,776375,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,3.5,1.65,776376,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,4.5,2.4,776377,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,5.5,3.75,776378,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,6.5,7,776379,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,7.5,13,776380,TAB
Minnesota Twins v Detroit Tigers,Minnesota Twins,Detroit Tigers,Player strikeouts,Kenta Maeda,Detroit Tigers,Minnesota Twins,8.5,26,776381,TAB
