match,home_team,away_team,start_time,market_name,player_name,player_team,opposition_team,line,over_price,prop_id,agency,original_roster_name
Cleveland Guardians v Colorado Rockies,Cleveland Guardians,Colorado Rockies,2025-07-30 08:10:00,Pitcher Strikeouts,T. Gordon,NA,NA,3.5,2.3,780445,TAB,NA
Cleveland Guardians v Colorado Rockies,Cleveland Guardians,Colorado Rockies,2025-07-30 08:10:00,Pitcher Strikeouts,T. Gordon,NA,NA,4.5,3.75,780446,TAB,NA
Cleveland Guardians v Colorado Rockies,Cleveland Guardians,Colorado Rockies,2025-07-30 08:10:00,Pitcher Strikeouts,T. Gordon,NA,NA,5.5,7,780447,TAB,NA
Cleveland Guardians v Colorado Rockies,Cleveland Guardians,Colorado Rockies,2025-07-30 08:10:00,Pitcher Strikeouts,T. Gordon,NA,NA,6.5,15,780448,TAB,NA
Cleveland Guardians v Colorado Rockies,Cleveland Guardians,Colorado Rockies,2025-07-30 08:10:00,Pitcher Strikeouts,T. Gordon,NA,NA,7.5,41,780449,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,2.5,1.1,780230,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,3.5,1.28,780231,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,4.5,1.62,780232,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,5.5,2.2,780233,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,6.5,3.3,780234,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,7.5,5.5,780235,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,8.5,10,780236,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,9.5,21,780237,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,B. Pfaadt,NA,NA,10.5,51,780238,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,2.5,1.19,780260,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,3.5,1.48,780261,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,4.5,2,780262,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,5.5,3,780263,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,6.5,5,780264,TAB,NA
