match,start_time,market_name,home_team,away_team,line,home_price,away_price,margin,agency
San Diego Padres v Texas Rangers,2025-07-06 11:10:00,Line,San Diego Padres,Texas Rangers,NA,3.7,1.28,1.05,Neds
San Diego Padres v Texas Rangers,2025-07-06 11:10:00,Line,San Diego Padres,Texas Rangers,NA,3.7,2.55,0.66,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,3.45,1.85,0.83,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,3.45,1.19,1.13,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,3.45,2.45,0.7,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,3.45,1.3,1.06,Neds
San Diego Padres v Texas Rangers,2025-07-06 11:10:00,Line,San Diego Padres,Texas Rangers,NA,1.5,3.45,0.96,Neds
San Diego Padres v Texas Rangers,2025-07-06 11:10:00,Line,San Diego Padres,Texas Rangers,NA,1.5,1.46,1.35,Neds
San Diego Padres v Texas Rangers,2025-07-06 11:10:00,Line,San Diego Padres,Texas Rangers,NA,1.5,1.28,1.45,Neds
San Diego Padres v Texas Rangers,2025-07-06 11:10:00,Line,San Diego Padres,Texas Rangers,NA,1.5,2.55,1.06,Neds
