match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Tampa Bay Rays v Los Angeles Dodgers,2025-08-03 02:40:00,Head To Head,Tampa Bay Rays,2.05,Los Angeles Dodgers,1.8,1.043,TAB
Chicago Cubs v Baltimore Orioles,2025-08-03 03:50:00,Head To Head,Chicago Cubs,1.45,Baltimore Orioles,2.9,1.034,TAB
Toronto Blue Jays v Kansas City Royals,2025-08-03 04:37:00,Head To Head,Toronto Blue Jays,1.7,Kansas City Royals,2.2,1.043,TAB
Colorado Rockies v Pittsburgh Pirates,2025-08-03 04:40:00,Head To Head,Colorado Rockies,2.8,Pittsburgh Pirates,1.45,1.047,TAB
Philadelphia Phillies v Detroit Tigers,2025-08-03 05:35:00,Head To Head,Philadelphia Phillies,1.9,Detroit Tigers,1.95,1.039,TAB
Washington Nationals v Milwaukee Brewers,2025-08-03 05:35:00,Head To Head,Washington Nationals,2.5,Milwaukee Brewers,1.55,1.045,TAB
Boston Red Sox v Houston Astros,2025-08-03 05:40:00,Head To Head,Boston Red Sox,1.8,Houston Astros,2.05,1.043,TAB
Cleveland Guardians v Minnesota Twins,2025-08-03 05:40:00,Head To Head,Cleveland Guardians,1.6,Minnesota Twins,2.4,1.042,TAB
Miami Marlins v New York Yankees,2025-08-03 05:40:00,Head To Head,Miami Marlins,1.92,New York Yankees,1.92,1.042,TAB
New York Mets v San Francisco Giants,2025-08-03 05:40:00,Head To Head,New York Mets,1.52,San Francisco Giants,2.6,1.043,TAB
Seattle Mariners v Texas Rangers,2025-08-03 05:40:00,Head To Head,Seattle Mariners,1.85,Texas Rangers,2,1.041,TAB
Cincinnati Reds v Atlanta Braves,2025-08-03 08:45:00,Head To Head,Cincinnati Reds,2.05,Atlanta Braves,1.8,1.043,TAB
Oakland Athletics v Arizona Diamondbacks,2025-08-03 11:35:00,Head To Head,Oakland Athletics,1.9,Arizona Diamondbacks,1.95,1.039,TAB
Los Angeles Angels v Chicago White Sox,2025-08-03 11:37:00,Head To Head,Los Angeles Angels,1.68,Chicago White Sox,2.25,1.04,TAB
San Diego Padres v St. Louis Cardinals,2025-08-03 11:40:00,Head To Head,San Diego Padres,1.68,St. Louis Cardinals,2.25,1.04,TAB
