match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Washington Nationals v New York Mets,2024-07-05T00:35:00Z,Head To Head,Washington Nationals,1.91,New York Mets,1.88,1.055,TopSport
Pittsburgh Pirates v St. Louis Cardinals,2024-07-05T02:05:00Z,Head To Head,Pittsburgh Pirates,1.97,St. Louis Cardinals,1.81,1.06,TopSport
New York Yankees v Cincinnati Reds,2024-07-05T02:35:00Z,Head To Head,New York Yankees,1.5,Cincinnati Reds,2.54,1.06,TopSport
Toronto Blue Jays v Houston Astros,2024-07-05T02:37:00Z,Head To Head,Toronto Blue Jays,1.96,Houston Astros,1.82,1.06,TopSport
Cleveland Guardians v Chicago White Sox,2024-07-05T02:40:00Z,Head To Head,Cleveland Guardians,1.38,Chicago White Sox,3,1.058,TopSport
Miami Marlins v Boston Red Sox,2024-07-05T02:40:00Z,Head To Head,Miami Marlins,2.34,Boston Red Sox,1.58,1.06,TopSport
Minnesota Twins v Detroit Tigers,2024-07-05T02:40:00Z,Head To Head,Minnesota Twins,1.49,Detroit Tigers,2.58,1.059,TopSport
Chicago Cubs v Philadelphia Phillies,2024-07-05T03:50:00Z,Head To Head,Chicago Cubs,2.03,Philadelphia Phillies,1.76,1.061,TopSport
Texas Rangers v San Diego Padres,2024-07-05T04:05:00Z,Head To Head,Texas Rangers,1.7,San Diego Padres,2.12,1.06,TopSport
Oakland Athletics v Los Angeles Angels,2024-07-05T05:37:00Z,Head To Head,Oakland Athletics,1.85,Los Angeles Angels,1.93,1.059,TopSport
Seattle Mariners v Baltimore Orioles,2024-07-05T05:40:00Z,Head To Head,Seattle Mariners,2.2,Baltimore Orioles,1.65,1.061,TopSport
Atlanta Braves v San Francisco Giants,2024-07-05T08:50:00Z,Head To Head,Atlanta Braves,1.78,San Francisco Giants,1.99,1.064,TopSport
Colorado Rockies v Milwaukee Brewers,2024-07-05T09:40:00Z,Head To Head,Colorado Rockies,2.16,Milwaukee Brewers,1.66,1.065,TopSport
Kansas City Royals v Tampa Bay Rays,2024-07-05T09:40:00Z,Head To Head,Kansas City Royals,2.06,Tampa Bay Rays,1.73,1.063,TopSport
Los Angeles Dodgers v Arizona Diamondbacks,2024-07-05T10:40:00Z,Head To Head,Los Angeles Dodgers,1.71,Arizona Diamondbacks,2.08,1.066,TopSport
