match,start_time,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency,original_roster_name
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Isiah Kiner-Falefa,Pittsburgh Pirates,Cincinnati Reds,1.5,8,NA,767817,NA,TAB,Isiah Kiner-Falefa
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Austin Hays,NA,NA,1.5,6,NA,767800,NA,TAB,NA
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Elly De La Cruz,Cincinnati Reds,Pittsburgh Pirates,1.5,6.5,NA,767801,NA,TAB,Elly De La Cruz
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Matt McLain,Cincinnati Reds,Pittsburgh Pirates,1.5,7,NA,767802,NA,TAB,Matt McLain
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Spencer Steer,Cincinnati Reds,Pittsburgh Pirates,1.5,8,NA,767804,NA,TAB,Spencer Steer
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,TJ Friedl,Cincinnati Reds,Pittsburgh Pirates,1.5,8.5,NA,767805,NA,TAB,TJ Friedl
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Gavin Lux,Cincinnati Reds,Pittsburgh Pirates,1.5,8.5,NA,767806,NA,TAB,Gavin Lux
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,KeBryan Hayes,NA,NA,1.5,11,NA,767807,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Matt Olson,Atlanta Braves,Miami Marlins,0.5,2.5,NA,768005,NA,TAB,Matt Olson
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Michael Harris II,Atlanta Braves,Miami Marlins,0.5,2.6,NA,768006,NA,TAB,Michael Harris II
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Drake Baldwin,Atlanta Braves,Miami Marlins,0.5,2.8,NA,768008,NA,TAB,Drake Baldwin
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Ozzie Albies,Atlanta Braves,Miami Marlins,0.5,2.9,NA,768009,NA,TAB,Ozzie Albies
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Eli White,Atlanta Braves,Miami Marlins,0.5,3,NA,768010,NA,TAB,Eli White
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Jurickson Profar,NA,NA,0.5,3,NA,768011,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Nick Allen,Atlanta Braves,Miami Marlins,0.5,4.25,NA,768013,NA,TAB,Nick Allen
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Agustin Ramirez,Miami Marlins,Atlanta Braves,0.5,2.3,NA,767996,NA,TAB,Agustín Ramírez
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Kyle Stowers,Miami Marlins,Atlanta Braves,0.5,2.4,NA,767997,NA,TAB,Kyle Stowers
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Otto Lopez,Miami Marlins,Atlanta Braves,0.5,2.6,NA,767998,NA,TAB,Otto Lopez
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Liam Hicks,Miami Marlins,Atlanta Braves,0.5,2.8,NA,768001,NA,TAB,Liam Hicks
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Jakob Marsee,NA,NA,0.5,3.1,NA,768003,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Xavier Edwards,Miami Marlins,Atlanta Braves,0.5,3.2,NA,768002,NA,TAB,Xavier Edwards
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Graham Pauley,NA,NA,0.5,3.3,NA,768004,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Troy Johnston,NA,NA,0.5,3.4,NA,767999,NA,TAB,NA
