match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Steven Kwan,Cleveland Guardians,Chicago White Sox,0.5,1.26,NA,795386,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Jose Ramirez,NA,NA,0.5,1.3,NA,795387,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Josh Naylor,Cleveland Guardians,Chicago White Sox,0.5,1.33,NA,795388,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Andres Gimenez,NA,NA,0.5,1.42,NA,795389,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Daniel Schneemann,Cleveland Guardians,Chicago White Sox,0.5,1.42,NA,795390,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,David Fry,Cleveland Guardians,Chicago White Sox,0.5,1.45,NA,795396,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Tyler Freeman,Cleveland Guardians,Chicago White Sox,0.5,1.48,NA,795397,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Brayan Rocchio,Cleveland Guardians,Chicago White Sox,0.5,1.55,NA,795398,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Bo Naylor,Cleveland Guardians,Chicago White Sox,0.5,1.58,NA,795399,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Andrew Benintendi,Chicago White Sox,Cleveland Guardians,0.5,1.32,NA,795400,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Tommy Pham,Chicago White Sox,Cleveland Guardians,0.5,1.36,NA,795407,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Andrew Vaughn,Chicago White Sox,Cleveland Guardians,0.5,1.38,NA,795408,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Nicky Lopez,Chicago White Sox,Cleveland Guardians,0.5,1.42,NA,795409,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Luis Robert Jr.,Chicago White Sox,Cleveland Guardians,0.5,1.45,NA,795410,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Lenyn Sosa,Chicago White Sox,Cleveland Guardians,0.5,1.5,NA,795415,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Paul DeJong,Chicago White Sox,Cleveland Guardians,0.5,1.55,NA,795417,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Steven Kwan,Cleveland Guardians,Chicago White Sox,1.5,2.25,NA,795419,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Jose Ramirez,NA,NA,1.5,2.5,NA,795420,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Josh Naylor,Cleveland Guardians,Chicago White Sox,1.5,2.5,NA,795427,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Daniel Schneemann,Cleveland Guardians,Chicago White Sox,1.5,2.9,NA,795428,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Andres Gimenez,NA,NA,1.5,3,NA,795429,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,David Fry,Cleveland Guardians,Chicago White Sox,1.5,3.1,NA,795430,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Tyler Freeman,Cleveland Guardians,Chicago White Sox,1.5,3.3,NA,795431,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Brayan Rocchio,Cleveland Guardians,Chicago White Sox,1.5,3.6,NA,795432,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Bo Naylor,Cleveland Guardians,Chicago White Sox,1.5,3.75,NA,795433,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Andrew Benintendi,Chicago White Sox,Cleveland Guardians,1.5,2.5,NA,795434,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Tommy Pham,Chicago White Sox,Cleveland Guardians,1.5,2.6,NA,795436,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Andrew Vaughn,Chicago White Sox,Cleveland Guardians,1.5,2.8,NA,795437,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Luis Robert Jr.,Chicago White Sox,Cleveland Guardians,1.5,2.9,NA,795438,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Nicky Lopez,Chicago White Sox,Cleveland Guardians,1.5,3,NA,795439,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Lenyn Sosa,Chicago White Sox,Cleveland Guardians,1.5,3.3,NA,795440,NA,TAB
Cleveland Guardians v Chicago White Sox,Cleveland Guardians,Chicago White Sox,Player Hits,Paul DeJong,Chicago White Sox,Cleveland Guardians,1.5,3.5,NA,795441,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Bryan De La Cruz,Miami Marlins,Boston Red Sox,0.5,1.4,NA,795699,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Otto Lopez,Miami Marlins,Boston Red Sox,0.5,1.45,NA,795700,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jake Burger,Miami Marlins,Boston Red Sox,0.5,1.45,NA,795707,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jesus Sanchez,NA,NA,0.5,1.5,NA,795708,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Josh Bell,Miami Marlins,Boston Red Sox,0.5,1.5,NA,795709,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Nick Gordon,Miami Marlins,Boston Red Sox,0.5,1.55,NA,795710,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Xavier Edwards,NA,NA,0.5,1.58,NA,795717,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jazz Chisholm Jr.,Miami Marlins,Boston Red Sox,0.5,1.58,NA,795718,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Nick Fortes,Miami Marlins,Boston Red Sox,0.5,1.7,NA,795719,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Rob Refsnyder,Boston Red Sox,Miami Marlins,0.5,1.4,NA,795720,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jarren Duran,Boston Red Sox,Miami Marlins,0.5,1.42,NA,795728,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Connor Wong,Boston Red Sox,Miami Marlins,0.5,1.5,NA,795729,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Tyler ONeill,NA,NA,0.5,1.5,NA,795730,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Romy Gonzalez,Boston Red Sox,Miami Marlins,0.5,1.52,NA,795740,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Ceddanne Rafaela,Boston Red Sox,Miami Marlins,0.5,1.55,NA,795738,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Rafael Devers,Boston Red Sox,Miami Marlins,0.5,1.55,NA,795739,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Dominic Smith,Boston Red Sox,Miami Marlins,0.5,1.65,NA,795748,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,David Hamilton,Boston Red Sox,Miami Marlins,0.5,1.85,NA,795749,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Bryan De La Cruz,Miami Marlins,Boston Red Sox,1.5,2.9,NA,795750,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Otto Lopez,Miami Marlins,Boston Red Sox,1.5,3,NA,795758,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jake Burger,Miami Marlins,Boston Red Sox,1.5,3.2,NA,795759,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Josh Bell,Miami Marlins,Boston Red Sox,1.5,3.4,NA,795760,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jesus Sanchez,NA,NA,1.5,3.4,NA,795769,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jazz Chisholm Jr.,Miami Marlins,Boston Red Sox,1.5,3.6,NA,795770,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Nick Gordon,Miami Marlins,Boston Red Sox,1.5,3.75,NA,795780,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Xavier Edwards,NA,NA,1.5,3.75,NA,795792,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Nick Fortes,Miami Marlins,Boston Red Sox,1.5,4.5,NA,795793,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Rob Refsnyder,Boston Red Sox,Miami Marlins,1.5,2.9,NA,795794,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Jarren Duran,Boston Red Sox,Miami Marlins,1.5,2.9,NA,795795,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Connor Wong,Boston Red Sox,Miami Marlins,1.5,3.3,NA,795796,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Tyler ONeill,NA,NA,1.5,3.3,NA,795797,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Rafael Devers,Boston Red Sox,Miami Marlins,1.5,3.4,NA,795798,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Ceddanne Rafaela,Boston Red Sox,Miami Marlins,1.5,3.5,NA,795799,NA,TAB
Miami Marlins v Boston Red Sox,Miami Marlins,Boston Red Sox,Player Hits,Romy Gonzalez,Boston Red Sox,Miami Marlins,1.5,3.5,NA,795800,NA,TAB
