match,home_team,away_team,start_time,player_name,player_team,opposition_team,line,over_price,under_price,market_name,agency
Colorado Rockies v Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,2025-05-22 10:10:00,Carson Palmquist,NA,NA,5.5,1.62,2.15,Pitcher Hits Allowed,Neds
Los Angeles Dodgers v Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,2025-05-22 11:40:00,Dustin May,Los Angeles Dodgers,Arizona Diamondbacks,4.5,1.65,2.1,Pitcher Hits Allowed,Neds
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,2025-05-22 03:40:00,Logan Evans,NA,NA,5.5,2.2,1.6,Pitcher Hits Allowed,Neds
Milwaukee Brewers v Baltimore Orioles,Milwaukee Brewers,Baltimore Orioles,2025-05-22 02:40:00,Tomoyuki Sugano,Baltimore Orioles,Milwaukee Brewers,5.5,1.65,2.1,Pitcher Hits Allowed,Neds
Oakland Athletics v Los Angeles Angels,Oakland Athletics,Los Angeles Angels,2025-05-22 11:35:00,Jack Kochanowicz,Los Angeles Angels,Oakland Athletics,6.5,2,1.72,Pitcher Hits Allowed,Neds
Oakland Athletics v Los Angeles Angels,Oakland Athletics,Los Angeles Angels,2025-05-22 11:35:00,JP Sears,Athletics,Oakland Athletics,5.5,1.72,2,Pitcher Hits Allowed,Neds
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,2025-05-22 03:40:00,Shane Smith,Chicago White Sox,Seattle Mariners,4.5,1.72,2,Pitcher Hits Allowed,Neds
Boston Red Sox v New York Mets,Boston Red Sox,New York Mets,2025-05-22 08:15:00,Garrett Crochet,Boston Red Sox,New York Mets,4.5,1.8199999999999998,1.88,Pitcher Hits Allowed,Neds
Minnesota Twins v Cleveland Guardians,Minnesota Twins,Cleveland Guardians,2025-05-22 05:00:00,Chris Paddack,Minnesota Twins,Cleveland Guardians,4.5,1.72,2.02,Pitcher Hits Allowed,Neds
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,2025-05-22 08:15:00,Trevor Williams,Washington Nationals,Atlanta Braves,5.5,1.98,1.75,Pitcher Hits Allowed,Neds
Miami Marlins v Chicago Cubs,Miami Marlins,Chicago Cubs,2025-05-22 02:40:00,Cade Horton,NA,NA,4.5,1.72,2.02,Pitcher Hits Allowed,Neds
Tampa Bay Rays v Houston Astros,Tampa Bay Rays,Houston Astros,2025-05-22 02:40:00,Taj Bradley,Tampa Bay Rays,Houston Astros,5.5,1.88,1.8199999999999998,Pitcher Hits Allowed,Neds
Pittsburgh Pirates v Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,2025-05-22 02:05:00,Andrew Heaney,Pittsburgh Pirates,Cincinnati Reds,4.5,1.62,2.15,Pitcher Hits Allowed,Neds
Minnesota Twins v Cleveland Guardians,Minnesota Twins,Cleveland Guardians,2025-05-22 05:00:00,Gavin Williams,Cleveland Guardians,Minnesota Twins,4.5,1.92,1.78,Pitcher Hits Allowed,Neds
New York Yankees v Texas Rangers,New York Yankees,Texas Rangers,2025-05-22 08:35:00,Jacob deGrom,Texas Rangers,New York Yankees,3.5,1.62,2.15,Pitcher Hits Allowed,Neds
Tampa Bay Rays v Houston Astros,Tampa Bay Rays,Houston Astros,2025-05-22 02:40:00,Hunter Brown,Houston Astros,Tampa Bay Rays,4.5,1.75,1.96,Pitcher Hits Allowed,Neds
St. Louis Cardinals v Detroit Tigers,St. Louis Cardinals,Detroit Tigers,2025-05-22 02:45:00,Andre Pallante,St. Louis Cardinals,Detroit Tigers,5.5,1.75,1.96,Pitcher Hits Allowed,Neds
Washington Nationals v Atlanta Braves,Washington Nationals,Atlanta Braves,2025-05-22 08:15:00,AJ Smith-Shawver,Atlanta Braves,Washington Nationals,4.5,1.92,1.78,Pitcher Hits Allowed,Neds
Boston Red Sox v New York Mets,Boston Red Sox,New York Mets,2025-05-22 08:15:00,Tylor Megill,New York Mets,Boston Red Sox,4.5,1.88,1.8199999999999998,Pitcher Hits Allowed,Neds
Toronto Blue Jays v San Diego Padres,Toronto Blue Jays,San Diego Padres,2025-05-22 08:37:00,Kevin Gausman,Toronto Blue Jays,San Diego Padres,5.5,2.02,1.72,Pitcher Hits Allowed,Neds
Colorado Rockies v Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,2025-05-22 10:10:00,Taijuan Walker,Philadelphia Phillies,Colorado Rockies,4.5,1.65,2.1,Pitcher Hits Allowed,Neds
Pittsburgh Pirates v Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,2025-05-22 02:05:00,Brady Singer,Cincinnati Reds,Pittsburgh Pirates,5.5,2.2,1.6,Pitcher Hits Allowed,Neds
Milwaukee Brewers v Baltimore Orioles,Milwaukee Brewers,Baltimore Orioles,2025-05-22 02:40:00,Chad Patrick,Milwaukee Brewers,Baltimore Orioles,4.5,1.6,2.2,Pitcher Hits Allowed,Neds
Los Angeles Dodgers v Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,2025-05-22 11:40:00,Corbin Burnes,Arizona Diamondbacks,Los Angeles Dodgers,4.5,1.7,2.05,Pitcher Hits Allowed,Neds
Miami Marlins v Chicago Cubs,Miami Marlins,Chicago Cubs,2025-05-22 02:40:00,Max Meyer,Miami Marlins,Chicago Cubs,5.5,2.2,1.6,Pitcher Hits Allowed,Neds
San Francisco Giants v Kansas City Royals,San Francisco Giants,Kansas City Royals,2025-05-22 05:15:00,Logan Webb,San Francisco Giants,Kansas City Royals,6.5,2.15,1.62,Pitcher Hits Allowed,Neds
