match,home_team,away_team,start_time,player_name,player_team,opposition_team,line,over_price,under_price,market_name,agency
Boston Red Sox v Baltimore Orioles,Boston Red Sox,Baltimore Orioles,2025-05-25 08:05:00,Lucas Giolito,NA,NA,5.5,1.98,1.7,Pitcher Strikeouts,Neds
Boston Red Sox v Baltimore Orioles,Boston Red Sox,Baltimore Orioles,2025-05-25 08:05:00,Lucas Giolito,NA,NA,4.5,1.48,NA,Pitcher Strikeouts,Neds
Boston Red Sox v Baltimore Orioles,Boston Red Sox,Baltimore Orioles,2025-05-25 08:05:00,Lucas Giolito,NA,NA,6.5,2.85,NA,Pitcher Strikeouts,Neds
Boston Red Sox v Baltimore Orioles,Boston Red Sox,Baltimore Orioles,2025-05-25 08:05:00,Lucas Giolito,NA,NA,7.5,4.5,NA,Pitcher Strikeouts,Neds
Boston Red Sox v Baltimore Orioles,Boston Red Sox,Baltimore Orioles,2025-05-25 08:05:00,Lucas Giolito,NA,NA,3.5,1.19,NA,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Casey Mize,Detroit Tigers,Cleveland Guardians,3.5,1.58,NA,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Casey Mize,Detroit Tigers,Cleveland Guardians,4.5,2.25,1.55,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Casey Mize,Detroit Tigers,Cleveland Guardians,5.5,3.6,NA,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Casey Mize,Detroit Tigers,Cleveland Guardians,2.5,1.2,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Shane Baz,Tampa Bay Rays,Toronto Blue Jays,6.5,3.5,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Shane Baz,Tampa Bay Rays,Toronto Blue Jays,5.5,2.3,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Shane Baz,Tampa Bay Rays,Toronto Blue Jays,3.5,1.28,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Shane Baz,Tampa Bay Rays,Toronto Blue Jays,4.5,1.65,2.05,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Cal Quantrill,Miami Marlins,Los Angeles Angels,2.5,1.24,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Cal Quantrill,Miami Marlins,Los Angeles Angels,4.5,2.4,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Cal Quantrill,Miami Marlins,Los Angeles Angels,3.5,1.6400000000000001,2.1,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Cal Quantrill,Miami Marlins,Los Angeles Angels,5.5,3.9,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Jose Soriano,NA,NA,6.5,2.5,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Jose Soriano,NA,NA,7.5,3.8,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Jose Soriano,NA,NA,3.5,1.1400000000000001,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Jose Soriano,NA,NA,4.5,1.38,NA,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Jose Soriano,NA,NA,5.5,1.8,1.87,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Luis L. Ortiz,Cleveland Guardians,Detroit Tigers,6.5,3.5,NA,Pitcher Strikeouts,Neds
