id,name,rot_num,line_id,price,handicap,selection,player_name,home_team,away_team
1610976573,Over,908,5055448602,1.99,4.5,Spencer Strider (Hits Allowed)(must start),Spencer Strider (Hits Allowed)(must start),Atlanta Braves,New York Mets
1610976574,Under,909,5055448603,1.763,4.5,Spencer Strider (Hits Allowed)(must start),Spencer Strider (Hits Allowed)(must start),Atlanta Braves,New York Mets
1610976504,Over,908,5055578925,2.05,5.5,Clay Holmes (Hits Allowed)(must start),Clay Holmes (Hits Allowed)(must start),Atlanta Braves,New York Mets
1610976505,Under,909,5055578926,1.719,5.5,Clay Holmes (Hits Allowed)(must start),Clay Holmes (Hits Allowed)(must start),Atlanta Braves,New York Mets
1610976593,Over,916,5055492879,2.18,5.5,Charlie Morton (Hits Allowed)(must start),Charlie Morton (Hits Allowed)(must start),Tampa Bay Rays,Baltimore Orioles
1610976594,Under,917,5055492880,1.632,5.5,Charlie Morton (Hits Allowed)(must start),Charlie Morton (Hits Allowed)(must start),Tampa Bay Rays,Baltimore Orioles
1610976614,Over,916,5055448716,1.729,4.5,Drew Rasmussen (Hits Allowed)(must start),Drew Rasmussen (Hits Allowed)(must start),Tampa Bay Rays,Baltimore Orioles
1610976615,Under,917,5055448717,2.03,4.5,Drew Rasmussen (Hits Allowed)(must start),Drew Rasmussen (Hits Allowed)(must start),Tampa Bay Rays,Baltimore Orioles
1610976711,Over,906,5055538305,2.2,5.5,Cristopher Sánchez (Hits Allowed)(must start),Cristopher Sánchez (Hits Allowed)(must start),Miami Marlins,Philadelphia Phillies
1610976712,Under,907,5055538306,1.625,5.5,Cristopher Sánchez (Hits Allowed)(must start),Cristopher Sánchez (Hits Allowed)(must start),Miami Marlins,Philadelphia Phillies
1610976736,Under,907,5055500652,1.787,4.5,Edward Cabrera (Hits Allowed)(must start),Edward Cabrera (Hits Allowed)(must start),Miami Marlins,Philadelphia Phillies
1610976735,Over,906,5055500651,1.961,4.5,Edward Cabrera (Hits Allowed)(must start),Edward Cabrera (Hits Allowed)(must start),Miami Marlins,Philadelphia Phillies
1610980433,Over,918,5055694637,1.934,5.5,Colton Gordon (Hits Allowed)(must start),Colton Gordon (Hits Allowed)(must start),Athletics,Houston Astros
1610980434,Under,919,5055694638,1.813,5.5,Colton Gordon (Hits Allowed)(must start),Colton Gordon (Hits Allowed)(must start),Athletics,Houston Astros
1610980451,Over,918,5055571244,2.15,5.5,Jacob Lopez (Hits Allowed)(must start),Jacob Lopez (Hits Allowed)(must start),Athletics,Houston Astros
1610980452,Under,919,5055571245,1.653,5.5,Jacob Lopez (Hits Allowed)(must start),Jacob Lopez (Hits Allowed)(must start),Athletics,Houston Astros
1610980675,Over,910,5055609722,2.3,5.5,Ryan Bergert (Hits Allowed)(must start),Ryan Bergert (Hits Allowed)(must start),Los Angeles Dodgers,San Diego Padres
1610980676,Under,911,5055609723,1.574,5.5,Ryan Bergert (Hits Allowed)(must start),Ryan Bergert (Hits Allowed)(must start),Los Angeles Dodgers,San Diego Padres
1610980684,Over,910,5055692567,2.17,5.5,Yoshinobu Yamamoto (Hits Allowed)(must start),Yoshinobu Yamamoto (Hits Allowed)(must start),Los Angeles Dodgers,San Diego Padres
1610980685,Under,911,5055692568,1.645,5.5,Yoshinobu Yamamoto (Hits Allowed)(must start),Yoshinobu Yamamoto (Hits Allowed)(must start),Los Angeles Dodgers,San Diego Padres
1610997928,Over,930,5055448580,1.751,4.5,Paul Skenes (Hits Allowed)(must start),Paul Skenes (Hits Allowed)(must start),G2 Detroit Tigers,G2 Pittsburgh Pirates
1610997929,Under,931,5055448581,2.01,4.5,Paul Skenes (Hits Allowed)(must start),Paul Skenes (Hits Allowed)(must start),G2 Detroit Tigers,G2 Pittsburgh Pirates
1610998599,Over,932,5055461137,1.8,4.5,Mike Vasil (Hits Allowed)(must start),Mike Vasil (Hits Allowed)(must start),G2 Chicago White Sox,G2 St. Louis Cardinals
1610998600,Under,933,5055461138,1.943,4.5,Mike Vasil (Hits Allowed)(must start),Mike Vasil (Hits Allowed)(must start),G2 Chicago White Sox,G2 St. Louis Cardinals
1610998626,Over,932,5055461153,2.15,5.5,Michael McGreevy (Hits Allowed)(must start),Michael McGreevy (Hits Allowed)(must start),G2 Chicago White Sox,G2 St. Louis Cardinals
1610998627,Under,933,5055461154,1.657,5.5,Michael McGreevy (Hits Allowed)(must start),Michael McGreevy (Hits Allowed)(must start),G2 Chicago White Sox,G2 St. Louis Cardinals
1611002067,Over,980,5055727684,2.21,5.5,Hunter Dobbins (Hits Allowed)(must start),Hunter Dobbins (Hits Allowed)(must start),San Francisco Giants,Boston Red Sox
1611002068,Under,981,5055727685,1.621,5.5,Hunter Dobbins (Hits Allowed)(must start),Hunter Dobbins (Hits Allowed)(must start),San Francisco Giants,Boston Red Sox
1611002085,Over,980,5055727696,1.99,4.5,Hayden Birdsong (Hits Allowed)(must start),Hayden Birdsong (Hits Allowed)(must start),San Francisco Giants,Boston Red Sox
1611002086,Under,981,5055727697,1.757,4.5,Hayden Birdsong (Hits Allowed)(must start),Hayden Birdsong (Hits Allowed)(must start),San Francisco Giants,Boston Red Sox
1611002149,Over,956,5055721188,1.869,5.5,Brady Singer (Hits Allowed)(must start),Brady Singer (Hits Allowed)(must start),St. Louis Cardinals,Cincinnati Reds
1611002150,Under,957,5055721189,1.869,5.5,Brady Singer (Hits Allowed)(must start),Brady Singer (Hits Allowed)(must start),St. Louis Cardinals,Cincinnati Reds
1611002167,Over,956,5055721200,2.06,5.5,Andre Pallante (Hits Allowed)(must start),Andre Pallante (Hits Allowed)(must start),St. Louis Cardinals,Cincinnati Reds
