id,name,rot_num,line_id,price,handicap,selection,player_name,home_team,away_team
1611850916,Over,902,5102089589,2.28,5.5,Clay Holmes (Total Strikeouts)(must start),Clay Holmes (Total Strikeouts)(must start),New York Mets,Cincinnati Reds
1611850917,Under,903,5102089590,1.581,5.5,Clay Holmes (Total Strikeouts)(must start),Clay Holmes (Total Strikeouts)(must start),New York Mets,Cincinnati Reds
1611850928,Over,902,5102078163,1.568,3.5,Nick Martinez (Total Strikeouts)(must start),Nick Martinez (Total Strikeouts)(must start),New York Mets,Cincinnati Reds
1611850929,Under,903,5102078164,2.31,3.5,Nick Martinez (Total Strikeouts)(must start),Nick Martinez (Total Strikeouts)(must start),New York Mets,Cincinnati Reds
